episode,reward,agent
2200,-1,CFR
2200,1,Q-Learning
2201,2,CFR
2201,-2,Q-Learning
2202,-1,CFR
2202,1,Q-Learning
2203,2,CFR
2203,-1,Q-Learning
2204,2,CFR
2204,1,Q-Learning
2205,1,CFR
2205,-1,Q-Learning
2206,-2,CFR
2206,-2,Q-Learning
2207,-1,CFR
2207,1,Q-Learning
2208,1,CFR
2208,-1,Q-Learning
2209,-2,CFR
2209,-1,Q-Learning
2210,-1,CFR
2210,2,Q-Learning
2211,2,CFR
2211,-1,Q-Learning
2212,-2,CFR
2212,-1,Q-Learning
2213,1,CFR
2213,1,Q-Learning
2214,1,CFR
2214,1,Q-Learning
2215,-1,CFR
2215,-1,Q-Learning
2216,-1,CFR
2216,-1,Q-Learning
2217,1,CFR
2217,-2,Q-Learning
2218,2,CFR
2218,1,Q-Learning
2219,1,CFR
2219,1,Q-Learning
2220,-1,CFR
2220,1,Q-Learning
2221,-1,CFR
2221,1,Q-Learning
2222,1,CFR
2222,1,Q-Learning
2223,-1,CFR
2223,-1,Q-Learning
2224,1,CFR
2224,-1,Q-Learning
2225,-1,CFR
2225,-1,Q-Learning
2226,2,CFR
2226,-1,Q-Learning
2227,1,CFR
2227,1,Q-Learning
2228,-1,CFR
2228,2,Q-Learning
2229,1,CFR
2229,1,Q-Learning
2230,-1,CFR
2230,-1,Q-Learning
2231,-1,CFR
2231,-1,Q-Learning
2232,-1,CFR
2232,-1,Q-Learning
2233,1,CFR
2233,2,Q-Learning
2234,1,CFR
2234,-1,Q-Learning
2235,1,CFR
2235,2,Q-Learning
2236,2,CFR
2236,-2,Q-Learning
2237,-1,CFR
2237,-1,Q-Learning
2238,-1,CFR
2238,1,Q-Learning
2239,-1,CFR
2239,-1,Q-Learning
2240,-1,CFR
2240,-1,Q-Learning
2241,1,CFR
2241,-2,Q-Learning
2242,-2,CFR
2242,-1,Q-Learning
2243,1,CFR
2243,-1,Q-Learning
2244,1,CFR
2244,-1,Q-Learning
2245,1,CFR
2245,1,Q-Learning
2246,-1,CFR
2246,-1,Q-Learning
2247,-1,CFR
2247,-1,Q-Learning
2248,1,CFR
2248,-1,Q-Learning
2249,1,CFR
2249,2,Q-Learning
2250,-1,CFR
2250,1,Q-Learning
2251,-1,CFR
2251,-1,Q-Learning
2252,1,CFR
2252,-1,Q-Learning
2253,2,CFR
2253,-1,Q-Learning
2254,1,CFR
2254,1,Q-Learning
2255,-1,CFR
2255,-1,Q-Learning
2256,-1,CFR
2256,-1,Q-Learning
2257,-2,CFR
2257,-1,Q-Learning
2258,1,CFR
2258,-2,Q-Learning
2259,-2,CFR
2259,2,Q-Learning
2260,2,CFR
2260,-1,Q-Learning
2261,-1,CFR
2261,-1,Q-Learning
2262,1,CFR
2262,1,Q-Learning
2263,-2,CFR
2263,-1,Q-Learning
2264,1,CFR
2264,-1,Q-Learning
2265,-2,CFR
2265,1,Q-Learning
2266,2,CFR
2266,-1,Q-Learning
2267,2,CFR
2267,-1,Q-Learning
2268,-1,CFR
2268,-1,Q-Learning
2269,1,CFR
2269,-1,Q-Learning
2270,1,CFR
2270,-1,Q-Learning
2271,-1,CFR
2271,1,Q-Learning
2272,-1,CFR
2272,-1,Q-Learning
2273,-2,CFR
2273,-1,Q-Learning
2274,-2,CFR
2274,1,Q-Learning
2275,-2,CFR
2275,2,Q-Learning
2276,1,CFR
2276,-1,Q-Learning
2277,1,CFR
2277,1,Q-Learning
2278,2,CFR
2278,-1,Q-Learning
2279,1,CFR
2279,-1,Q-Learning
2280,2,CFR
2280,-1,Q-Learning
2281,-1,CFR
2281,-1,Q-Learning
2282,-1,CFR
2282,1,Q-Learning
2283,1,CFR
2283,1,Q-Learning
2284,-1,CFR
2284,2,Q-Learning
2285,1,CFR
2285,-1,Q-Learning
2286,-2,CFR
2286,-1,Q-Learning
2287,1,CFR
2287,1,Q-Learning
2288,1,CFR
2288,-2,Q-Learning
2289,1,CFR
2289,1,Q-Learning
2290,1,CFR
2290,-2,Q-Learning
2291,2,CFR
2291,2,Q-Learning
2292,-1,CFR
2292,2,Q-Learning
2293,-2,CFR
2293,1,Q-Learning
2294,-1,CFR
2294,-1,Q-Learning
2295,1,CFR
2295,1,Q-Learning
2296,-1,CFR
2296,-2,Q-Learning
2297,-1,CFR
2297,-1,Q-Learning
2298,-2,CFR
2298,-1,Q-Learning
2299,1,CFR
2299,2,Q-Learning
2300,-2,CFR
2300,-1,Q-Learning
2301,2,CFR
2301,1,Q-Learning
2302,1,CFR
2302,1,Q-Learning
2303,-1,CFR
2303,1,Q-Learning
2304,1,CFR
2304,1,Q-Learning
2305,-1,CFR
2305,1,Q-Learning
2306,1,CFR
2306,-1,Q-Learning
2307,-1,CFR
2307,1,Q-Learning
2308,1,CFR
2308,-1,Q-Learning
2309,2,CFR
2309,1,Q-Learning
2310,-2,CFR
2310,-1,Q-Learning
2311,-1,CFR
2311,-1,Q-Learning
2312,1,CFR
2312,1,Q-Learning
2313,-2,CFR
2313,1,Q-Learning
2314,-2,CFR
2314,-1,Q-Learning
2315,-1,CFR
2315,-1,Q-Learning
2316,1,CFR
2316,1,Q-Learning
2317,1,CFR
2317,2,Q-Learning
2318,-1,CFR
2318,-2,Q-Learning
2319,-1,CFR
2319,-1,Q-Learning
2320,1,CFR
2320,-2,Q-Learning
2321,-1,CFR
2321,-2,Q-Learning
2322,-2,CFR
2322,1,Q-Learning
2323,2,CFR
2323,2,Q-Learning
2324,1,CFR
2324,2,Q-Learning
2325,1,CFR
2325,1,Q-Learning
2326,-1,CFR
2326,1,Q-Learning
2327,-1,CFR
2327,1,Q-Learning
2328,-1,CFR
2328,-1,Q-Learning
2329,1,CFR
2329,1,Q-Learning
2330,-2,CFR
2330,1,Q-Learning
2331,-1,CFR
2331,-2,Q-Learning
2332,1,CFR
2332,1,Q-Learning
2333,1,CFR
2333,-2,Q-Learning
2334,1,CFR
2334,-1,Q-Learning
2335,2,CFR
2335,1,Q-Learning
2336,1,CFR
2336,-1,Q-Learning
2337,-1,CFR
2337,-1,Q-Learning
2338,1,CFR
2338,1,Q-Learning
2339,-1,CFR
2339,-2,Q-Learning
2340,-2,CFR
2340,1,Q-Learning
2341,-1,CFR
2341,1,Q-Learning
2342,-1,CFR
2342,1,Q-Learning
2343,-1,CFR
2343,1,Q-Learning
2344,-1,CFR
2344,1,Q-Learning
2345,-1,CFR
2345,1,Q-Learning
2346,1,CFR
2346,1,Q-Learning
2347,1,CFR
2347,-1,Q-Learning
2348,1,CFR
2348,-1,Q-Learning
2349,-1,CFR
2349,-1,Q-Learning
2350,-2,CFR
2350,-1,Q-Learning
2351,-1,CFR
2351,1,Q-Learning
2352,1,CFR
2352,1,Q-Learning
2353,1,CFR
2353,1,Q-Learning
2354,-1,CFR
2354,-1,Q-Learning
2355,-1,CFR
2355,-1,Q-Learning
2356,1,CFR
2356,1,Q-Learning
2357,-1,CFR
2357,-2,Q-Learning
2358,1,CFR
2358,-1,Q-Learning
2359,1,CFR
2359,1,Q-Learning
2360,-1,CFR
2360,-1,Q-Learning
2361,-1,CFR
2361,-1,Q-Learning
2362,-2,CFR
2362,1,Q-Learning
2363,-1,CFR
2363,1,Q-Learning
2364,-1,CFR
2364,-1,Q-Learning
2365,-1,CFR
2365,-1,Q-Learning
2366,-1,CFR
2366,1,Q-Learning
2367,-1,CFR
2367,-1,Q-Learning
2368,-1,CFR
2368,1,Q-Learning
2369,-2,CFR
2369,-1,Q-Learning
2370,-1,CFR
2370,-1,Q-Learning
2371,-2,CFR
2371,-1,Q-Learning
2372,-1,CFR
2372,-1,Q-Learning
2373,-1,CFR
2373,1,Q-Learning
2374,1,CFR
2374,-1,Q-Learning
2375,1,CFR
2375,-2,Q-Learning
2376,-1,CFR
2376,-1,Q-Learning
2377,1,CFR
2377,2,Q-Learning
2378,1,CFR
2378,-1,Q-Learning
2379,1,CFR
2379,1,Q-Learning
2380,1,CFR
2380,-1,Q-Learning
2381,-2,CFR
2381,-1,Q-Learning
2382,-2,CFR
2382,-1,Q-Learning
2383,-1,CFR
2383,-1,Q-Learning
2384,-2,CFR
2384,-1,Q-Learning
2385,1,CFR
2385,-1,Q-Learning
2386,-1,CFR
2386,-1,Q-Learning
2387,-1,CFR
2387,2,Q-Learning
2388,-1,CFR
2388,1,Q-Learning
2389,2,CFR
2389,1,Q-Learning
2390,-1,CFR
2390,-2,Q-Learning
2391,1,CFR
2391,1,Q-Learning
2392,2,CFR
2392,-1,Q-Learning
2393,1,CFR
2393,-2,Q-Learning
2394,-1,CFR
2394,-1,Q-Learning
2395,1,CFR
2395,-1,Q-Learning
2396,1,CFR
2396,1,Q-Learning
2397,-1,CFR
2397,1,Q-Learning
2398,-1,CFR
2398,-1,Q-Learning
2399,-1,CFR
2399,1,Q-Learning
2400,-1,CFR
2400,-1,Q-Learning
2401,-1,CFR
2401,-2,Q-Learning
2402,-1,CFR
2402,1,Q-Learning
2403,-2,CFR
2403,1,Q-Learning
2404,1,CFR
2404,1,Q-Learning
2405,1,CFR
2405,1,Q-Learning
2406,1,CFR
2406,1,Q-Learning
2407,1,CFR
2407,1,Q-Learning
2408,2,CFR
2408,-1,Q-Learning
2409,2,CFR
2409,1,Q-Learning
2410,1,CFR
2410,1,Q-Learning
2411,1,CFR
2411,1,Q-Learning
2412,-1,CFR
2412,-1,Q-Learning
2413,2,CFR
2413,-1,Q-Learning
2414,-1,CFR
2414,-1,Q-Learning
2415,1,CFR
2415,1,Q-Learning
2416,1,CFR
2416,1,Q-Learning
2417,1,CFR
2417,1,Q-Learning
2418,-1,CFR
2418,-1,Q-Learning
2419,1,CFR
2419,1,Q-Learning
2420,1,CFR
2420,1,Q-Learning
2421,-1,CFR
2421,-1,Q-Learning
2422,-1,CFR
2422,-1,Q-Learning
2423,1,CFR
2423,1,Q-Learning
2424,-1,CFR
2424,1,Q-Learning
2425,2,CFR
2425,-1,Q-Learning
2426,1,CFR
2426,1,Q-Learning
2427,1,CFR
2427,-1,Q-Learning
2428,1,CFR
2428,1,Q-Learning
2429,-2,CFR
2429,-1,Q-Learning
2430,-1,CFR
2430,2,Q-Learning
2431,2,CFR
2431,1,Q-Learning
2432,-1,CFR
2432,-1,Q-Learning
2433,-1,CFR
2433,-2,Q-Learning
2434,1,CFR
2434,-1,Q-Learning
2435,1,CFR
2435,1,Q-Learning
2436,1,CFR
2436,2,Q-Learning
2437,-2,CFR
2437,-1,Q-Learning
2438,1,CFR
2438,1,Q-Learning
2439,-1,CFR
2439,-2,Q-Learning
2440,2,CFR
2440,1,Q-Learning
2441,-1,CFR
2441,-1,Q-Learning
2442,2,CFR
2442,-1,Q-Learning
2443,-2,CFR
2443,-1,Q-Learning
2444,-1,CFR
2444,1,Q-Learning
2445,1,CFR
2445,-1,Q-Learning
2446,-1,CFR
2446,-2,Q-Learning
2447,-1,CFR
2447,-1,Q-Learning
2448,1,CFR
2448,1,Q-Learning
2449,-1,CFR
2449,1,Q-Learning
2450,1,CFR
2450,-1,Q-Learning
2451,2,CFR
2451,-1,Q-Learning
2452,-1,CFR
2452,1,Q-Learning
2453,-1,CFR
2453,-1,Q-Learning
2454,-2,CFR
2454,-1,Q-Learning
2455,1,CFR
2455,-1,Q-Learning
2456,-2,CFR
2456,2,Q-Learning
2457,-1,CFR
2457,1,Q-Learning
2458,-2,CFR
2458,-1,Q-Learning
2459,1,CFR
2459,-1,Q-Learning
2460,-1,CFR
2460,-2,Q-Learning
2461,1,CFR
2461,-2,Q-Learning
2462,1,CFR
2462,-1,Q-Learning
2463,-2,CFR
2463,-1,Q-Learning
2464,2,CFR
2464,-1,Q-Learning
2465,-1,CFR
2465,-1,Q-Learning
2466,2,CFR
2466,-1,Q-Learning
2467,1,CFR
2467,-1,Q-Learning
2468,-1,CFR
2468,-1,Q-Learning
2469,-1,CFR
2469,2,Q-Learning
2470,-1,CFR
2470,-1,Q-Learning
2471,-1,CFR
2471,1,Q-Learning
2472,-1,CFR
2472,-1,Q-Learning
2473,1,CFR
2473,-1,Q-Learning
2474,-1,CFR
2474,2,Q-Learning
2475,-1,CFR
2475,-1,Q-Learning
2476,1,CFR
2476,-1,Q-Learning
2477,-2,CFR
2477,-2,Q-Learning
2478,-1,CFR
2478,1,Q-Learning
2479,1,CFR
2479,2,Q-Learning
2480,-1,CFR
2480,-1,Q-Learning
2481,1,CFR
2481,-1,Q-Learning
2482,-1,CFR
2482,-2,Q-Learning
2483,-2,CFR
2483,-2,Q-Learning
2484,-1,CFR
2484,-1,Q-Learning
2485,-1,CFR
2485,-1,Q-Learning
2486,1,CFR
2486,-1,Q-Learning
2487,-2,CFR
2487,-1,Q-Learning
2488,1,CFR
2488,2,Q-Learning
2489,1,CFR
2489,1,Q-Learning
2490,-1,CFR
2490,2,Q-Learning
2491,-1,CFR
2491,-1,Q-Learning
2492,-2,CFR
2492,-2,Q-Learning
2493,2,CFR
2493,-1,Q-Learning
2494,2,CFR
2494,-1,Q-Learning
2495,-1,CFR
2495,-1,Q-Learning
2496,-1,CFR
2496,-2,Q-Learning
2497,1,CFR
2497,-1,Q-Learning
2498,-2,CFR
2498,2,Q-Learning
2499,1,CFR
2499,-1,Q-Learning
2500,1,CFR
2500,-1,Q-Learning
2501,-1,CFR
2501,-1,Q-Learning
2502,-1,CFR
2502,-1,Q-Learning
2503,1,CFR
2503,-1,Q-Learning
2504,1,CFR
2504,-1,Q-Learning
2505,1,CFR
2505,-1,Q-Learning
2506,1,CFR
2506,1,Q-Learning
2507,2,CFR
2507,2,Q-Learning
2508,-1,CFR
2508,1,Q-Learning
2509,1,CFR
2509,-1,Q-Learning
2510,-2,CFR
2510,1,Q-Learning
2511,1,CFR
2511,-1,Q-Learning
2512,-1,CFR
2512,2,Q-Learning
2513,-2,CFR
2513,1,Q-Learning
2514,-2,CFR
2514,1,Q-Learning
2515,-1,CFR
2515,-1,Q-Learning
2516,-1,CFR
2516,-1,Q-Learning
2517,1,CFR
2517,-1,Q-Learning
2518,1,CFR
2518,-1,Q-Learning
2519,1,CFR
2519,-1,Q-Learning
2520,1,CFR
2520,1,Q-Learning
2521,-2,CFR
2521,-1,Q-Learning
2522,1,CFR
2522,-1,Q-Learning
2523,-1,CFR
2523,-1,Q-Learning
2524,2,CFR
2524,-1,Q-Learning
2525,1,CFR
2525,-1,Q-Learning
2526,-1,CFR
2526,-1,Q-Learning
2527,-1,CFR
2527,2,Q-Learning
2528,1,CFR
2528,-1,Q-Learning
2529,-1,CFR
2529,-1,Q-Learning
2530,-2,CFR
2530,2,Q-Learning
2531,-2,CFR
2531,1,Q-Learning
2532,-1,CFR
2532,1,Q-Learning
2533,1,CFR
2533,-1,Q-Learning
2534,1,CFR
2534,-1,Q-Learning
2535,1,CFR
2535,2,Q-Learning
2536,1,CFR
2536,1,Q-Learning
2537,1,CFR
2537,-1,Q-Learning
2538,2,CFR
2538,-2,Q-Learning
2539,2,CFR
2539,-2,Q-Learning
2540,1,CFR
2540,-1,Q-Learning
2541,-1,CFR
2541,2,Q-Learning
2542,-2,CFR
2542,2,Q-Learning
2543,-2,CFR
2543,1,Q-Learning
2544,1,CFR
2544,-2,Q-Learning
2545,1,CFR
2545,-2,Q-Learning
2546,1,CFR
2546,1,Q-Learning
2547,-1,CFR
2547,1,Q-Learning
2548,-1,CFR
2548,1,Q-Learning
2549,-1,CFR
2549,-2,Q-Learning
2550,-2,CFR
2550,-1,Q-Learning
2551,1,CFR
2551,1,Q-Learning
2552,-1,CFR
2552,-1,Q-Learning
2553,1,CFR
2553,1,Q-Learning
2554,2,CFR
2554,1,Q-Learning
2555,-1,CFR
2555,1,Q-Learning
2556,1,CFR
2556,-2,Q-Learning
2557,-2,CFR
2557,-2,Q-Learning
2558,1,CFR
2558,-1,Q-Learning
2559,1,CFR
2559,-1,Q-Learning
2560,-2,CFR
2560,1,Q-Learning
2561,1,CFR
2561,-1,Q-Learning
2562,1,CFR
2562,1,Q-Learning
2563,2,CFR
2563,-1,Q-Learning
2564,1,CFR
2564,-1,Q-Learning
2565,-1,CFR
2565,-1,Q-Learning
2566,-1,CFR
2566,1,Q-Learning
2567,1,CFR
2567,1,Q-Learning
2568,1,CFR
2568,-1,Q-Learning
2569,1,CFR
2569,1,Q-Learning
2570,-1,CFR
2570,-1,Q-Learning
2571,1,CFR
2571,2,Q-Learning
2572,1,CFR
2572,-2,Q-Learning
2573,-2,CFR
2573,1,Q-Learning
2574,-1,CFR
2574,-1,Q-Learning
2575,-1,CFR
2575,1,Q-Learning
2576,1,CFR
2576,1,Q-Learning
2577,2,CFR
2577,1,Q-Learning
2578,1,CFR
2578,-1,Q-Learning
2579,1,CFR
2579,1,Q-Learning
2580,-1,CFR
2580,-1,Q-Learning
2581,1,CFR
2581,-2,Q-Learning
2582,1,CFR
2582,-1,Q-Learning
2583,1,CFR
2583,-2,Q-Learning
2584,-1,CFR
2584,1,Q-Learning
2585,1,CFR
2585,1,Q-Learning
2586,-1,CFR
2586,2,Q-Learning
2587,2,CFR
2587,2,Q-Learning
2588,-1,CFR
2588,1,Q-Learning
2589,-1,CFR
2589,-1,Q-Learning
2590,1,CFR
2590,1,Q-Learning
2591,-1,CFR
2591,-1,Q-Learning
2592,-1,CFR
2592,1,Q-Learning
2593,1,CFR
2593,1,Q-Learning
2594,-1,CFR
2594,-1,Q-Learning
2595,1,CFR
2595,-1,Q-Learning
2596,-1,CFR
2596,-1,Q-Learning
2597,-1,CFR
2597,2,Q-Learning
2598,-1,CFR
2598,-1,Q-Learning
2599,-2,CFR
2599,-1,Q-Learning
2600,1,CFR
2600,1,Q-Learning
2601,2,CFR
2601,1,Q-Learning
2602,-1,CFR
2602,-1,Q-Learning
2603,-1,CFR
2603,-1,Q-Learning
2604,-1,CFR
2604,1,Q-Learning
2605,-2,CFR
2605,2,Q-Learning
2606,2,CFR
2606,-1,Q-Learning
2607,1,CFR
2607,-1,Q-Learning
2608,-1,CFR
2608,1,Q-Learning
2609,-1,CFR
2609,-1,Q-Learning
2610,-2,CFR
2610,1,Q-Learning
2611,1,CFR
2611,2,Q-Learning
2612,1,CFR
2612,-1,Q-Learning
2613,1,CFR
2613,-1,Q-Learning
2614,-1,CFR
2614,1,Q-Learning
2615,-1,CFR
2615,-1,Q-Learning
2616,1,CFR
2616,-1,Q-Learning
2617,-1,CFR
2617,1,Q-Learning
2618,-1,CFR
2618,1,Q-Learning
2619,1,CFR
2619,2,Q-Learning
2620,-1,CFR
2620,1,Q-Learning
2621,-1,CFR
2621,1,Q-Learning
2622,1,CFR
2622,-1,Q-Learning
2623,1,CFR
2623,2,Q-Learning
2624,2,CFR
2624,1,Q-Learning
2625,1,CFR
2625,-2,Q-Learning
2626,1,CFR
2626,-1,Q-Learning
2627,-1,CFR
2627,1,Q-Learning
2628,1,CFR
2628,1,Q-Learning
2629,-1,CFR
2629,-1,Q-Learning
2630,2,CFR
2630,1,Q-Learning
2631,-1,CFR
2631,1,Q-Learning
2632,1,CFR
2632,1,Q-Learning
2633,-1,CFR
2633,1,Q-Learning
2634,2,CFR
2634,1,Q-Learning
2635,-1,CFR
2635,-2,Q-Learning
2636,-1,CFR
2636,1,Q-Learning
2637,1,CFR
2637,1,Q-Learning
2638,-1,CFR
2638,-1,Q-Learning
2639,-2,CFR
2639,2,Q-Learning
2640,-2,CFR
2640,1,Q-Learning
2641,2,CFR
2641,1,Q-Learning
2642,2,CFR
2642,-1,Q-Learning
2643,1,CFR
2643,-1,Q-Learning
2644,1,CFR
2644,-2,Q-Learning
2645,2,CFR
2645,-2,Q-Learning
2646,-1,CFR
2646,-1,Q-Learning
2647,2,CFR
2647,-1,Q-Learning
2648,-2,CFR
2648,1,Q-Learning
2649,-2,CFR
2649,-1,Q-Learning
2650,-1,CFR
2650,2,Q-Learning
2651,1,CFR
2651,1,Q-Learning
2652,-1,CFR
2652,-1,Q-Learning
2653,1,CFR
2653,-1,Q-Learning
2654,-1,CFR
2654,-1,Q-Learning
2655,1,CFR
2655,-2,Q-Learning
2656,-1,CFR
2656,1,Q-Learning
2657,-2,CFR
2657,1,Q-Learning
2658,1,CFR
2658,-1,Q-Learning
2659,-1,CFR
2659,1,Q-Learning
2660,2,CFR
2660,1,Q-Learning
2661,-1,CFR
2661,-2,Q-Learning
2662,-1,CFR
2662,1,Q-Learning
2663,-2,CFR
2663,-1,Q-Learning
2664,1,CFR
2664,-1,Q-Learning
2665,-2,CFR
2665,1,Q-Learning
2666,-1,CFR
2666,-2,Q-Learning
2667,-1,CFR
2667,-2,Q-Learning
2668,-1,CFR
2668,-2,Q-Learning
2669,-2,CFR
2669,1,Q-Learning
2670,2,CFR
2670,1,Q-Learning
2671,-1,CFR
2671,1,Q-Learning
2672,-1,CFR
2672,1,Q-Learning
2673,1,CFR
2673,-2,Q-Learning
2674,-1,CFR
2674,2,Q-Learning
2675,1,CFR
2675,-1,Q-Learning
2676,-1,CFR
2676,1,Q-Learning
2677,-1,CFR
2677,-2,Q-Learning
2678,-2,CFR
2678,1,Q-Learning
2679,1,CFR
2679,-1,Q-Learning
2680,1,CFR
2680,-1,Q-Learning
2681,-1,CFR
2681,-1,Q-Learning
2682,2,CFR
2682,-1,Q-Learning
2683,1,CFR
2683,1,Q-Learning
2684,1,CFR
2684,1,Q-Learning
2685,1,CFR
2685,1,Q-Learning
2686,-1,CFR
2686,1,Q-Learning
2687,1,CFR
2687,-2,Q-Learning
2688,-1,CFR
2688,1,Q-Learning
2689,1,CFR
2689,-2,Q-Learning
2690,1,CFR
2690,1,Q-Learning
2691,1,CFR
2691,1,Q-Learning
2692,-1,CFR
2692,1,Q-Learning
2693,-1,CFR
2693,-1,Q-Learning
2694,-1,CFR
2694,1,Q-Learning
2695,-1,CFR
2695,2,Q-Learning
2696,-2,CFR
2696,-2,Q-Learning
2697,-2,CFR
2697,1,Q-Learning
2698,1,CFR
2698,1,Q-Learning
2699,-1,CFR
2699,-1,Q-Learning
2700,-1,CFR
2700,1,Q-Learning
2701,1,CFR
2701,-2,Q-Learning
2702,-1,CFR
2702,1,Q-Learning
2703,-2,CFR
2703,2,Q-Learning
2704,-1,CFR
2704,-2,Q-Learning
2705,1,CFR
2705,1,Q-Learning
2706,1,CFR
2706,-2,Q-Learning
2707,-1,CFR
2707,1,Q-Learning
2708,-1,CFR
2708,1,Q-Learning
2709,1,CFR
2709,-1,Q-Learning
2710,-1,CFR
2710,1,Q-Learning
2711,-2,CFR
2711,-2,Q-Learning
2712,1,CFR
2712,-1,Q-Learning
2713,-1,CFR
2713,1,Q-Learning
2714,1,CFR
2714,1,Q-Learning
2715,-2,CFR
2715,1,Q-Learning
2716,1,CFR
2716,1,Q-Learning
2717,1,CFR
2717,1,Q-Learning
2718,-2,CFR
2718,-1,Q-Learning
2719,2,CFR
2719,-1,Q-Learning
2720,-1,CFR
2720,-1,Q-Learning
2721,-1,CFR
2721,1,Q-Learning
2722,2,CFR
2722,1,Q-Learning
2723,-1,CFR
2723,1,Q-Learning
2724,1,CFR
2724,2,Q-Learning
2725,-1,CFR
2725,-1,Q-Learning
2726,1,CFR
2726,1,Q-Learning
2727,1,CFR
2727,1,Q-Learning
2728,-1,CFR
2728,1,Q-Learning
2729,1,CFR
2729,1,Q-Learning
2730,-2,CFR
2730,1,Q-Learning
2731,2,CFR
2731,-1,Q-Learning
2732,-1,CFR
2732,-1,Q-Learning
2733,-1,CFR
2733,1,Q-Learning
2734,-1,CFR
2734,-1,Q-Learning
2735,-1,CFR
2735,-1,Q-Learning
2736,1,CFR
2736,1,Q-Learning
2737,1,CFR
2737,-1,Q-Learning
2738,-2,CFR
2738,-1,Q-Learning
2739,1,CFR
2739,-1,Q-Learning
2740,1,CFR
2740,1,Q-Learning
2741,-1,CFR
2741,1,Q-Learning
2742,-2,CFR
2742,-1,Q-Learning
2743,2,CFR
2743,-1,Q-Learning
2744,-1,CFR
2744,-1,Q-Learning
2745,-2,CFR
2745,1,Q-Learning
2746,1,CFR
2746,1,Q-Learning
2747,1,CFR
2747,-1,Q-Learning
2748,-1,CFR
2748,-1,Q-Learning
2749,-1,CFR
2749,-2,Q-Learning
2750,-1,CFR
2750,-2,Q-Learning
2751,-1,CFR
2751,-1,Q-Learning
2752,-1,CFR
2752,1,Q-Learning
2753,1,CFR
2753,1,Q-Learning
2754,-1,CFR
2754,-1,Q-Learning
2755,-1,CFR
2755,-1,Q-Learning
2756,1,CFR
2756,1,Q-Learning
2757,1,CFR
2757,-1,Q-Learning
2758,-2,CFR
2758,-1,Q-Learning
2759,1,CFR
2759,-1,Q-Learning
2760,1,CFR
2760,1,Q-Learning
2761,-2,CFR
2761,-1,Q-Learning
2762,2,CFR
2762,1,Q-Learning
2763,-1,CFR
2763,-1,Q-Learning
2764,-2,CFR
2764,1,Q-Learning
2765,1,CFR
2765,2,Q-Learning
2766,1,CFR
2766,-1,Q-Learning
2767,2,CFR
2767,-1,Q-Learning
2768,-1,CFR
2768,2,Q-Learning
2769,-1,CFR
2769,-1,Q-Learning
2770,-1,CFR
2770,-1,Q-Learning
2771,2,CFR
2771,1,Q-Learning
2772,1,CFR
2772,-1,Q-Learning
2773,-1,CFR
2773,2,Q-Learning
2774,-1,CFR
2774,-1,Q-Learning
2775,-1,CFR
2775,-1,Q-Learning
2776,-1,CFR
2776,2,Q-Learning
2777,-1,CFR
2777,1,Q-Learning
2778,-1,CFR
2778,-1,Q-Learning
2779,1,CFR
2779,1,Q-Learning
2780,-1,CFR
2780,-1,Q-Learning
2781,1,CFR
2781,-1,Q-Learning
2782,1,CFR
2782,1,Q-Learning
2783,1,CFR
2783,-1,Q-Learning
2784,-2,CFR
2784,2,Q-Learning
2785,-1,CFR
2785,1,Q-Learning
2786,1,CFR
2786,1,Q-Learning
2787,-1,CFR
2787,1,Q-Learning
2788,1,CFR
2788,1,Q-Learning
2789,-1,CFR
2789,-2,Q-Learning
2790,1,CFR
2790,-1,Q-Learning
2791,-1,CFR
2791,1,Q-Learning
2792,1,CFR
2792,1,Q-Learning
2793,1,CFR
2793,-2,Q-Learning
2794,2,CFR
2794,-2,Q-Learning
2795,-1,CFR
2795,-1,Q-Learning
2796,1,CFR
2796,1,Q-Learning
2797,1,CFR
2797,1,Q-Learning
2798,-1,CFR
2798,1,Q-Learning
2799,-1,CFR
2799,-1,Q-Learning
2800,1,CFR
2800,-1,Q-Learning
2801,-2,CFR
2801,1,Q-Learning
2802,1,CFR
2802,-1,Q-Learning
2803,2,CFR
2803,-1,Q-Learning
2804,-2,CFR
2804,-2,Q-Learning
2805,-2,CFR
2805,-1,Q-Learning
2806,1,CFR
2806,1,Q-Learning
2807,2,CFR
2807,1,Q-Learning
2808,-2,CFR
2808,-2,Q-Learning
2809,2,CFR
2809,1,Q-Learning
2810,1,CFR
2810,1,Q-Learning
2811,-1,CFR
2811,-1,Q-Learning
2812,1,CFR
2812,-1,Q-Learning
2813,-2,CFR
2813,-2,Q-Learning
2814,1,CFR
2814,2,Q-Learning
2815,1,CFR
2815,-1,Q-Learning
2816,1,CFR
2816,-1,Q-Learning
2817,-1,CFR
2817,-1,Q-Learning
2818,1,CFR
2818,-1,Q-Learning
2819,1,CFR
2819,-1,Q-Learning
2820,1,CFR
2820,1,Q-Learning
2821,-1,CFR
2821,-1,Q-Learning
2822,1,CFR
2822,1,Q-Learning
2823,1,CFR
2823,-1,Q-Learning
2824,-1,CFR
2824,-1,Q-Learning
2825,-2,CFR
2825,1,Q-Learning
2826,-2,CFR
2826,-1,Q-Learning
2827,1,CFR
2827,-1,Q-Learning
2828,1,CFR
2828,-1,Q-Learning
2829,-2,CFR
2829,-1,Q-Learning
2830,1,CFR
2830,1,Q-Learning
2831,1,CFR
2831,-1,Q-Learning
2832,1,CFR
2832,1,Q-Learning
2833,-1,CFR
2833,-1,Q-Learning
